Countries or Regions,Currency Code,Price,Apple Price Tier (USD),Original USD Equiv,Diff %
Yemen,YER,749.00,2.99,2.99,0.0%
Zambia,ZMW,79.99,3.99,3.99,0.0%
Zimbabwe,USD,3.99,3.99,3.99,0.0%
Ecuador,USD,5.99,5.99,5.99,0.0%
Gibraltar,GBP,11.99,14.99,15.49,-3.2%
Liechtenstein,CHF,14.99,16.99,17.49,-2.9%
Macao,MOP,119.00,14.99,14.99,0.0%
Micronesia,USD,4.99,4.99,4.99,0.0%
Monaco,EUR,14.99,15.99,15.99,0.0%
San Marino,EUR,14.99,15.99,15.99,0.0%
Turks and Caicos Islands,USD,14.99,14.99,14.99,0.0%
Vatican City,EUR,14.99,15.99,15.99,0.0%
